id,Tarjeta grafica,precio,calida,aptitud,compatible
1,"Tarjeta de Video Nvidia Gigabyte Geforce GT 730, 2GB DDR3 - GV","2149,00",15,"143,3",todos
2,"Tarjeta de video Nvidia EVGA GeForce GT 1030 SC, 2GB DDR5","3299,00",14,"235,6",todos
3,"Tarjeta de video Nvidia Gigabyte GeForce GTX 1650 D6 OC 4G, 4GB","5699,00",13,"438,4",todos
4,"Tarjeta de video Nvidia PNY Quadro T1000 8GB GDDR6, Arquitectura","8699,00",12,"724,9",todos
5,Tarjeta de video Nvidia Asus Dual GeForce RTX 3050 OC Edition 8GB,"10499,00",11,"954,5",todos
6,Tarjeta de video Nvidia Asus Phoenix GeForce RTX 3060 V2 12GB,"10999,00",10,"1099,9",todos
7,Tarjeta de video AMD MSI Radeon RX 6600 XT Mech 2x 8G OC GDDR6,"12499,00",9,"1388,8",todos
8,Tarjeta de video Nvidia Zotac Gaming GeForce RTX 2060 Twin Fan,"12699,00",8,"1587,4",todos
9,Tarjeta de video PowerColor Fighter AMD Radeon RX 6700 XT 12GB,"18499,00",7,"2642,7",todos
10,Tarjeta de video AMD Asus ROG Strix Radeon RX 6700 XT OC Edition,"20799,00",6,"3466,5",todos
11,Tarjeta de video Nvidia EVGA GeForce RTX 3070 Ti FTW3 Ultra,"23999,00",5,"4799,8",todos
12,Tarjeta de video Nvidia Asus TUF Gaming GeForce RTX 3080 V2 OC,"26999,00",4,"6749,8",todos
13,"Tarjeta de Video Nvidia PNY Quadro RTX A4500 20GB GDDR6, 7,168","34999,00",3,"11666,3",todos
14,Tarjeta de video Nvidia Gigabyte Geforce RTX 3080 Ti Gaming OC,"37999,00",2,"18999,5",todos
15,Tarjeta de video Nvidia Asus ROG Strix Geforce RTX 3080 Ti 12GB,"41199,00",1,"41199,0",todos
